File begins
"ID";"DebitorID";"Amount";"Balance";"Open Date"
"f3ae4fa3-a553-4139-987c-0c321121c122";"b8413320-93c4-48ed-9a8c-00489f77f92f";"100000,0000";"100000,0000";"08.06.2016 18:53:29"
"a37f0824-245f-45e7-b4d9-6e09906df1bd";"11d1f02d-eee0-4a9d-bb0f-cf16ba4bc172";"10000,0000";"9000,0000";"05.06.2016 0:00:00"
"33de5194-415e-4666-a730-7692189c18f2";"f83c6ca5-8ecf-41a2-ba6c-1a6f9a5b995a";"20000,0000";"18000,0000";"12.11.2015 0:00:00"
"cb3f49b1-cf63-410f-b960-7da39fa52bbc";"48383b1a-99fe-441d-bd78-a8f1c6f0c5e8";"10000,0000";"10000,0000";"08.06.2016 19:29:27"
"f47dca29-02f0-4dd9-96af-7f3f3dd12641";"cbd344a3-b3e4-4502-bc8c-00970e40cbee";"50000,0000";"45000,0000";"05.05.2015 0:00:00"
"13cf04e2-835c-427f-bace-7fde99c723a1";"75022df5-8fb1-421f-93f5-5d121ca5b550";"600000,0000";"600000,0000";"08.06.2016 18:46:15"
"9fca797e-81d1-485c-8856-88f2a63b0579";"48383b1a-99fe-441d-bd78-a8f1c6f0c5e8";"30000,0000";"25000,0000";"01.06.2016 18:56:40"
"1f1df57e-2e57-43a9-a569-cbcdf53ff3ce";"cbd344a3-b3e4-4502-bc8c-00970e40cbee";"15000,0000";"15000,0000";"30.05.2016 0:00:00"
"3a83a400-4361-4eb7-9440-f3a8ad1caeb4";"d37569a3-8913-4ff3-889c-ca7dba2ddf21";"750000,0000";"744444,4500";"25.03.2016 0:00:00"
End of file
